,nombre,orden,familia,genus,nombre_comun,conservacion,invasivo,taxonConceptID,nombre2,subgenus,taxonRank
22,Troglodytes troglodytes,Passeriformes,Troglodytidae,Troglodytes,Eurasian Wren,0,0,5231438.0,,,species
23,Columba livia,Columbiformes,Columbidae,Columba,Rock Pigeon,0,0,2495414.0,,,species
24,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,Eurasian Collared Dove,0,0,2495696.0,,,species
25,Turdus philomelos,Passeriformes,Turdidae,Turdus,Song Thrush,0,0,7901064.0,,,species
26,Sylvia atricapilla,Passeriformes,Sylviidae,Sylvia,Eurasian Blackcap,0,0,2492956.0,,,species
27,Saxicola rubicola,Passeriformes,Muscicapidae,Saxicola,European Stonechat,0,0,4408759.0,,,species
28,Larus michahellis,Charadriiformes,Laridae,Larus,Yellow-Legged Gull,0,0,9413670.0,,,species
29,Apus apus,Apodiformes,Apodidae,Apus,Common Swift,1,0,5228676.0,,,species
30,Chloris chloris,Passeriformes,Fringillidae,Chloris,European Greenfinch,0,0,5845582.0,Carduelis chloris,,species
31,Aegithalos caudatus,,,,Long-Tailed Tit,1,0,2495000.0,,,species
32,Bubulcus ibis,Pelecaniformes,Ardeidae,Bubulcus,Western Cattle Egret,1,0,2480830.0,,,species
33,Falco tinnunculus,Falconiformes,Falconidae,Falco,Tårnfalk,0,0,9616058.0,,,species
34,Cyanistes caeruleus,Passeriformes,Paridae,Cyanistes,Eurasian Blue Tit,1,0,2487879.0,,,species
35,Gallinula chloropus,Gruiformes,Rallidae,Gallinula,Common Moorhen,0,0,5228199.0,,,species
36,Garrulus glandarius,Passeriformes,Corvidae,Garrulus,Eurasian Jay,0,0,5229493.0,,,species
37,Picus viridis,Piciformes,Picidae,Picus,Grønspætte,0,0,2478523.0,,,species
38,Certhia brachydactyla,Passeriformes,Certhiidae,Certhia,Short-Toed Treecreeper,1,0,7806848.0,,,species
39,Actitis hypoleucos,Charadriiformes,Scolopacidae,Actitis,Common Sandpiper,1,0,2481800.0,,,species
40,Egretta garzetta,Pelecaniformes,Ardeidae,Egretta,Little Egret,1,0,2480876.0,,,species
41,Passer hispaniolensis,Passeriformes,Passeridae,Passer,Spanish Sparrow,0,0,5231209.0,,,species
42,Periparus ater,Passeriformes,Paridae,Periparus,Coal Tit,0,0,2487871.0,,,species
43,Phalacrocorax carbo,Suliformes,Phalacrocoracidae,Phalacrocorax,Great Cormorant,0,0,2481890.0,,,species
44,Anthus spinoletta,Passeriformes,Motacillidae,Anthus,Water Pipit,1,0,2490255.0,,,species
45,Passer montanus,Passeriformes,Passeridae,Passer,Eurasian Tree Sparrow,0,0,5231198.0,,,species
46,Ciconia ciconia,Ciconiiformes,Ciconiidae,Ciconia,White Stork,1,0,2481912.0,,,species
47,Cettia cetti,Passeriformes,Cettiidae,Cettia,Cetti's Warbler,1,0,2493012.0,,,species
48,Phylloscopus canariensis,Passeriformes,Phylloscopidae,Phylloscopus,Canary Islands Chiffchaff,0,0,7341593.0,,,species
49,Myiopsitta monachus,Psittaciformes,Psittacidae,Myiopsitta,Munkeparakit,0,1,2479407.0,,,species
50,Estrilda astrild,Passeriformes,Estrildidae,Estrilda,Common Waxbill,0,0,2493660.0,,,species
51,Serinus canaria,Passeriformes,Fringillidae,Serinus,Island Canary,0,0,2494303.0,,,species
52,Luscinia megarhynchos,Passeriformes,Muscicapidae,Luscinia,Common Nightingale,0,0,7660710.0,,,species
53,Emberiza cirlus,Passeriformes,Emberizidae,Emberiza,Cirl Bunting,1,0,7626513.0,,,species
54,Alcedo atthis,Coraciiformes,Alcedinidae,Alcedo,Common Kingfisher,1,0,2475532.0,,,species
55,Linaria cannabina,Passeriformes,Fringillidae,Linaria,Eurasian Linnet,0,0,8104397.0,Carduelis cannabina,,species
56,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,Fasan,0,0,9752149.0,,,species
57,Milvus milvus,Accipitriformes,Accipitridae,Milvus,Red Kite,0,0,5229168.0,,,species
58,Ptyonoprogne rupestris,Passeriformes,Hirundinidae,Ptyonoprogne,Eurasian Crag-Martin,0,0,4408796.0,,,species
59,Ficedula hypoleuca,Passeriformes,Muscicapidae,Ficedula,European Pied Flycatcher,0,0,2492606.0,,,species
60,Sylvia borin,Passeriformes,Sylviidae,Sylvia,Garden Warbler,0,0,2492942.0,,,species
61,Himantopus himantopus,Charadriiformes,Recurvirostridae,Himantopus,Stylteløber,0,0,5229126.0,,,species
62,Accipiter nisus,Accipitriformes,Accipitridae,Accipiter,Eurasian Sparrowhawk,1,0,2480637.0,,,species
63,Galerida cristata,Passeriformes,Alaudidae,Galerida,Crested Lark,0,0,2490669.0,,,species
64,Milvus migrans,Accipitriformes,Accipitridae,Milvus,Black Kite,0,0,5229167.0,,,species
65,Sylvia melanocephala,Passeriformes,Sylviidae,Sylvia,Sardinian Warbler,0,0,2492962.0,,,species
66,Corvus frugilegus,Passeriformes,Corvidae,Corvus,Rook,0,0,2482513.0,,,species
67,Sitta europaea,Passeriformes,Sittidae,Sitta,Eurasian Nuthatch,0,0,2484916.0,,,species
68,Phylloscopus ibericus,Passeriformes,Phylloscopidae,Phylloscopus,Iberian Chiffchaff,0,0,7341585.0,,,species
69,Streptopelia turtur,Columbiformes,Columbidae,Streptopelia,European Turtle Dove,0,0,2495708.0,,,species
70,Anthus pratensis,Passeriformes,Motacillidae,Anthus,Meadow/Water Pipit,1,0,2490266.0,,,species
71,Lanius meridionalis,Passeriformes,Laniidae,Lanius,Sydlig Stor Tornskade,0,0,7341500.0,,,species
72,Hieraaetus pennatus,Accipitriformes,Accipitridae,Hieraaetus,Booted Eagle,0,0,2480685.0,Aquila pennata,,species
73,Charadrius dubius,Charadriiformes,Charadriidae,Charadrius,Little Ringed Plover,1,0,7937336.0,,,species
74,Fulica atra,Gruiformes,Rallidae,Fulica,Eurasian Coot,0,0,2474377.0,,,species
75,Cisticola juncidis,Passeriformes,Cisticolidae,Cisticola,Zitting Cisticola,1,0,2492822.0,,,species
76,Columba oenas,Columbiformes,Columbidae,Columba,Stock Dove,0,0,2495471.0,,,species
77,Corvus corax,Passeriformes,Corvidae,Corvus,Common Raven,0,0,2482492.0,,,species
78,Alectoris rufa,Galliformes,Phasianidae,Alectoris,Rødhøne,0,0,2474051.0,,,species
79,Emberiza calandra,Passeriformes,Emberizidae,Emberiza,Bomlærke,0,0,7634625.0,Miliaria calandra,,species
80,Falco peregrinus,Falconiformes,Falconidae,Falco,Vandrefalk,0,0,2481047.0,,,species
81,Merops apiaster,Coraciiformes,Meropidae,Merops,European Bee-Eater,0,0,2475443.0,,,species
82,Circus aeruginosus,Accipitriformes,Accipitridae,Circus,Western Marsh Harrier,1,0,2480482.0,,,species
83,Dendrocopos major,Piciformes,Picidae,Dendrocopos,Stor Flagspætte,1,0,2477968.0,,,species
84,Tringa ochropus,Charadriiformes,Scolopacidae,Tringa,Green Sandpiper,0,0,2481728.0,,,species
85,Muscicapa striata,Passeriformes,Muscicapidae,Muscicapa,Spotted Flycatcher,0,0,2492576.0,,,species
86,Gyps fulvus,Accipitriformes,Accipitridae,Gyps,Eurasian Griffon,0,0,2480389.0,,,species
87,Oxyura leucocephala,Anseriformes,Anatidae,Oxyura,White-Headed Duck,0,0,2498302.0,,,species
88,Spinus spinus,Passeriformes,Fringillidae,Spinus,Eurasian Siskin,0,0,6092830.0,Carduelis spinus,,species
89,Coloeus monedula,Passeriformes,Corvidae,Coloeus,Allike,0,0,6100954.0,Corvus monedula,,species
90,Oriolus oriolus,Passeriformes,Oriolidae,Oriolus,Eurasian Golden Oriole,0,0,2488949.0,,,species
91,Pyrrhula pyrrhula,Passeriformes,Fringillidae,Pyrrhula,Eurasian Bullfinch,0,0,2494543.0,,,species
92,Apus unicolor,Apodiformes,Apodidae,Apus,Kanariseiler,1,0,5228694.0,,,species
93,Spilopelia senegalensis,Columbiformes,Columbidae,Spilopelia,Laughing Dove,0,0,6101223.0,Streptopelia senegalensis,,species
94,Tachybaptus ruficollis,Podicipediformes,Podicipedidae,Tachybaptus,Little Grebe,0,0,2482048.0,,,species
95,Tadorna tadorna,Anseriformes,Anatidae,Tadorna,Common Shelduck,0,0,2498009.0,,,species
96,Petronia petronia,Passeriformes,Passeridae,Petronia,Rock Petronia,0,0,2492350.0,,,species
97,Tachymarptis melba,Apodiformes,Apodidae,Tachymarptis,Alpesejler,0,0,2477411.0,Apus melba,,species
98,Ichthyaetus melanocephalus,Charadriiformes,Laridae,Ichthyaetus,Mediterranean Gull,0,0,8151548.0,Larus melanocephalus,,species
99,Anas clypeata,Anseriformes,Anatidae,Anas,Northern Shoveler,0,0,2498089.0,,,species
