"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"7341593","Phylloscopus canariensis","(Hartwig, 1886)","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Canary Islands Chiffchaff","",""
"2479407","Myiopsitta monachus","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Munkeparakit","","Catálogo Español de Especies Exóticas Invasoras"
"2493660","Estrilda astrild","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Estrilda","Common Waxbill","",""
"2494303","Serinus canaria","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Island Canary","",""
"7660710","Luscinia megarhynchos","C.L.Brehm, 1831","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Common Nightingale","",""
"7626513","Emberiza cirlus","Linnaeus, 1766","species","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Cirl Bunting","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2475532","Alcedo atthis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Alcedo","Common Kingfisher","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"8104397","Linaria cannabina","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Linaria","Eurasian Linnet","",""
"9752149","Phasianus colchicus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Galliformes","Phasianidae","Phasianus","Fasan","",""
"5229168","Milvus milvus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Red Kite","",""
"4408796","Ptyonoprogne rupestris","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Eurasian Crag-Martin","",""
"2492606","Ficedula hypoleuca","(Pallas, 1764)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","European Pied Flycatcher","",""
"2492942","Sylvia borin","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Garden Warbler","",""
"5229126","Himantopus himantopus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Stylteløber","",""
"2480637","Accipiter nisus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Eurasian Sparrowhawk","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2490669","Galerida cristata","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Crested Lark","",""
"5229167","Milvus migrans","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Black Kite","",""
"2492962","Sylvia melanocephala","(Gmelin, 1789)","species","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sardinian Warbler","",""
"2482513","Corvus frugilegus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Rook","",""
"2484916","Sitta europaea","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Eurasian Nuthatch","",""
"7341585","Phylloscopus ibericus","Ticehurst, 1937","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Iberian Chiffchaff","",""
"2495708","Streptopelia turtur","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","European Turtle Dove","",""
"2490266","Anthus pratensis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Meadow/Water Pipit","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"7341500","Lanius meridionalis","Temminck, 1820","species","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Sydlig Stor Tornskade","",""
"2480685","Hieraaetus pennatus","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Hieraaetus","Booted Eagle","",""
"7937336","Charadrius dubius","Scopoli, 1786","species","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Little Ringed Plover","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2474377","Fulica atra","Linnaeus, 1758","species","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Eurasian Coot","",""
"2492822","Cisticola juncidis","(Rafinesque, 1810)","species","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Zitting Cisticola","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2495471","Columba oenas","Linnaeus, 1758","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Stock Dove","",""
"2482492","Corvus corax","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Common Raven","",""
"2474051","Alectoris rufa","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Rødhøne","",""
"7634625","Emberiza calandra","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Bomlærke","",""
"2481047","Falco peregrinus","Tunstall, 1771","species","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Vandrefalk","",""
"2475443","Merops apiaster","Linnaeus, 1758","species","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","European Bee-Eater","",""
"2480482","Circus aeruginosus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Western Marsh Harrier","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2477968","Dendrocopos major","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Stor Flagspætte","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2481728","Tringa ochropus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Green Sandpiper","",""
"2492576","Muscicapa striata","(Pallas, 1764)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Muscicapa","Spotted Flycatcher","",""
"2480389","Gyps fulvus","(Hablizl, 1783)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Gyps","Eurasian Griffon","",""
"2498302","Oxyura leucocephala","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura","White-Headed Duck","",""
"6092830","Spinus spinus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Eurasian Siskin","",""
"6100954","Coloeus monedula","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Allike","",""
"2488949","Oriolus oriolus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Oriolus","Eurasian Golden Oriole","",""
"2494543","Pyrrhula pyrrhula","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Pyrrhula","Eurasian Bullfinch","",""
"5228694","Apus unicolor","(Jardine, 1830)","species","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Kanariseiler","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"6101223","Spilopelia senegalensis","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Spilopelia","Laughing Dove","",""
"2482048","Tachybaptus ruficollis","(Pallas, 1764)","species","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Tachybaptus","Little Grebe","",""
"2498009","Tadorna tadorna","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Common Shelduck","",""
"2492350","Petronia petronia","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Passeriformes","Passeridae","Petronia","Rock Petronia","",""
"2477411","Tachymarptis melba","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Apodiformes","Apodidae","Tachymarptis","Alpesejler","",""
"8151548","Ichthyaetus melanocephalus","(Temminck, 1820)","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Mediterranean Gull","",""
"2498089","Anas clypeata","Linnaeus, 1758","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Northern Shoveler","",""
"2490270","Anthus berthelotii","Bolle, 1862","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Berthelot's Pipit","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"7406504","Ichthyaetus audouinii","(Payraudeau, 1826)","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Audouin's Gull","",""
"2480773","Plegadis falcinellus","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Glossy Ibis","",""
"2490774","Turdus viscivorus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Mistle Thrush","",""
"4352332","Phoenicopterus roseus","Pallas, 1811","species","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Greater Flamingo","",""
"2479226","Psittacula krameri","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Psittacula","Halsbandparkiet","","Catálogo Español de Especies Exóticas Invasoras"
"2498255","Aythya ferina","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","Common Pochard","",""
"2480589","Accipiter gentilis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Northern Goshawk","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231918","Cuculus canorus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Gøg","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2490604","Lullula arborea","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Lullula","Wood Lark","",""
"2498036","Anser anser","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Graylag Goose","",""
"9717283","Cecropis daurica","(Laxmann, 1769)","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Cecropis",,"",""
"2482065","Podiceps nigricollis","C.L.Brehm, 1831","species","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Eared Grebe","",""
"2493118","Acrocephalus scirpaceus","(Hermann, 1804)","species","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Eurasian Reed Warbler","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231763","Prunella modularis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Prunellidae","Prunella","Dunnock","",""
"8077224","Alauda arvensis","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Eurasian Skylark","",""
"2492867","Lanius senator","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Rødhovedet Tornskade","",""
"2480863","Nycticorax nycticorax","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax","Black-Crowned Night Heron","",""
"2498180","Netta rufina","(Pallas, 1773)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Netta","Red-Crested Pochard","",""
"8012314","Jynx torquilla","Linnaeus, 1758","species","Animalia","Chordata","Aves","Piciformes","Picidae","Jynx","Vendehals","",""
"2497266","Athene noctua","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Little Owl","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2487843","Poecile palustris","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Marsh Tit","",""
"2493070","Phylloscopus bonelli","(Vieillot, 1819)","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Western Bonelli's Warbler","",""
"2491498","Emberiza cia","Linnaeus, 1766","species","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Rock Bunting","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2482100","Burhinus oedicnemus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Triel","",""
"2493052","Phylloscopus trochilus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Willow Warbler","",""
"8214667","Anas crecca","Linnaeus, 1758","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Čiksa","",""
"2480696","Neophron percnopterus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Neophron","Egyptian Vulture","",""
"2481784","Numenius phaeopus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Whimbrel","",""
"9584698","Falco naumanni","J.G.Fleischer, 1818","species","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Lille Tårnfalk","",""
"9701857","Motacilla flava","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Western Yellow Wagtail","",""
"2481174","Larus fuscus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Lesser Black-Backed Gull","",""
"2482552","Pyrrhocorax pyrrhocorax","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","Red-Billed Chough","",""
"2480666","Circaetus gallicus","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circaetus","Short-Toed Snake-Eagle","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2481748","Calidris alba","(Pallas, 1764)","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Drieteenstrandloper","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2495093","Cinclus cinclus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Cinclidae","Cinclus","White-Throated Dipper","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2494329","Coccothraustes coccothraustes","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Coccothraustes","Hawfinch","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231240","Oenanthe oenanthe","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Northern Wheatear","",""
"5739355","Iduna opaca","(Cabanis, 1850)","species","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Iduna","Western Olivaceous Warbler","",""
"9330514","Galerida theklae","A.E.Brehm, 1857","species","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Thekla's Lark","",""
"2480420","Pernis apivorus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pernis","European Honey-Buzzard","",""
"2493214","Hippolais polyglotta","(Vieillot, 1817)","species","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Hippolais","Melodious Warbler","",""
"2497701","Otus scops","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Strigiformes","Strigidae","Otus","Eurasian Scops Owl","",""
"2497921","Tyto alba","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Western Barn Owl","",""
"5228695","Apus pallidus","(Shelley, 1870)","species","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Gråsejler","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"9015784","Dryobates minor","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates","Lille Flagspætte","",""
"2474416","Porphyrio porphyrio","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Western Swamphen","",""
"2480259","Recurvirostra avosetta","Linnaeus, 1758","species","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Klyde","",""
"2481240","Thalasseus sandvicensis","(Latham, 1787)","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Sandwich Tern","",""
"2489160","Riparia riparia","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Bank Swallow","",""
"2495688","Streptopelia roseogrisea","(Sundevall, 1857)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","African Collared Dove","","Catálogo Español de Especies Exóticas Invasoras"
"2498343","Cygnus olor","(Gmelin, 1789)","species","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Mute Swan","",""
"5229165","Aegypius monachus","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius","Cinereous Vulture","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2474156","Coturnix coturnix","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Galliformes","Phasianidae","Coturnix","Vagtel","",""
"2481819","Gallinago gallinago","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Common Snipe","",""
"2492943","Sylvia communis","Latham, 1787","species","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Greater Whitethroat","",""
"11007527","Acrocephalus arundinaceus","(Temminck & Schlegel, 1847)","species",,,,,,,,"Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2480242","Vanellus vanellus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Northern Lapwing","",""
"2480506","Aquila chrysaetos","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Golden Eagle","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
