"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"2495708","Streptopelia turtur","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Turtelduvvá","",""
"2490266","Anthus pratensis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Cihcecizáš","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"7341500","Lanius meridionalis","Temminck, 1820","species","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Southern Grey Shrike","",""
"2492822","Cisticola juncidis","(Rafinesque, 1810)","species","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cistussanger","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2474377","Fulica atra","Linnaeus, 1758","species","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Eurasian Coot","",""
"2480685","Hieraaetus pennatus","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Hieraaetus","Booted Eagle","",""
"7937336","Charadrius dubius","Scopoli, 1786","species","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Little Ringed Plover","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2495471","Columba oenas","Linnaeus, 1758","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Vuovdeduvvá","",""
"2474051","Alectoris rufa","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Red-Legged Partridge","",""
"2482492","Corvus corax","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Common Raven","",""
"7634625","Emberiza calandra","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Gordnecihci","",""
